source,output,originalBytes,outputBytes,width,height,error
"04_projects/hofi-tarr-bela/Still 2026-01-10 233852_1.42.1.jpg","assets/ih-all/04_projects/hofi-tarr-bela/still-2026-01-10-233852_1.42.1.webp","562523","33082","1280","720",""
"04_projects/insta-karuzel/1/1.png","assets/ih-all/04_projects/insta-karuzel/1/1.webp","1259652","107984","1080","1350",""
"04_projects/insta-karuzel/1/3.png","assets/ih-all/04_projects/insta-karuzel/1/3.webp","2068864","225698","1080","1350",""
"04_projects/insta-karuzel/2/60.png","assets/ih-all/04_projects/insta-karuzel/2/60.webp","1122049","91214","1080","1350",""
"04_projects/insta-karuzel/2/62.png","assets/ih-all/04_projects/insta-karuzel/2/62.webp","1321220","110328","1080","1350",""
"04_projects/insta-karuzel/3/20.png","assets/ih-all/04_projects/insta-karuzel/3/20.webp","1358935","310668","1080","1350",""
"04_projects/insta-karuzel/3/21.png","assets/ih-all/04_projects/insta-karuzel/3/21.webp","756641","99346","1080","1350",""
"04_projects/insta-karuzel/3/26.png","assets/ih-all/04_projects/insta-karuzel/3/26.webp","545273","92928","1080","1350",""
"04_projects/insta-karuzel/4/1.png","assets/ih-all/04_projects/insta-karuzel/4/1.webp","1110584","55556","1080","1350",""
"04_projects/insta-karuzel/4/10.png","assets/ih-all/04_projects/insta-karuzel/4/10.webp","1751625","225192","1080","1350",""
"04_projects/insta-karuzel/4/4.png","assets/ih-all/04_projects/insta-karuzel/4/4.webp","1256012","111402","1080","1350",""
"04_projects/insta-karuzel/5/1.png","assets/ih-all/04_projects/insta-karuzel/5/1.webp","669770","28642","1080","1350",""
"04_projects/insta-karuzel/5/10.png","assets/ih-all/04_projects/insta-karuzel/5/10.webp","2151366","229832","1080","1350",""
"04_projects/insta-karuzel/5/6.png","assets/ih-all/04_projects/insta-karuzel/5/6.webp","560387","42372","1080","1350",""
"04_projects/insta-karuzel/5/8.png","assets/ih-all/04_projects/insta-karuzel/5/8.webp","391850","89378","1080","1350",""
"04_projects/insta-karuzel/BIFF/1.png","assets/ih-all/04_projects/insta-karuzel/biff/1.webp","2967380","303520","1080","1350",""
"04_projects/insta-karuzel/BIFF/4.png","assets/ih-all/04_projects/insta-karuzel/biff/4.webp","1797768","59540","1080","1350",""
"04_projects/insta-karuzel/BIFF/6.png","assets/ih-all/04_projects/insta-karuzel/biff/6.webp","2261592","93428","1080","1350",""
"04_projects/kepes-interjuk/14.png","assets/ih-all/04_projects/kepes-interjuk/14.webp","2244294","133200","1080","1350",""
"04_projects/kepes-interjuk/15.png","assets/ih-all/04_projects/kepes-interjuk/15.webp","1901711","64644","1080","1350",""
"04_projects/kepes-interjuk/16.png","assets/ih-all/04_projects/kepes-interjuk/16.webp","2210071","107634","1080","1350",""
"04_projects/kepes-interjuk/17.png","assets/ih-all/04_projects/kepes-interjuk/17.webp","2194928","123856","1080","1350",""
"04_projects/kepes-interjuk/18.png","assets/ih-all/04_projects/kepes-interjuk/18.webp","2114078","104778","1080","1350",""
"04_projects/kepes-interjuk/19.png","assets/ih-all/04_projects/kepes-interjuk/19.webp","2227979","121570","1080","1350",""
"04_projects/kepes-interjuk/20.png","assets/ih-all/04_projects/kepes-interjuk/20.webp","2179073","116044","1080","1350",""
"04_projects/kepes-interjuk/21.png","assets/ih-all/04_projects/kepes-interjuk/21.webp","2304335","119152","1080","1350",""
"04_projects/kepes-interjuk/22.png","assets/ih-all/04_projects/kepes-interjuk/22.webp","2220487","125242","1080","1350",""
"04_projects/kepes-interjuk/23.png","assets/ih-all/04_projects/kepes-interjuk/23.webp","2111244","105160","1080","1350",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_1.21.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_1.21.1.webp","651828","71154","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_1.22.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_1.22.1.webp","613693","55642","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_1.28.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_1.28.1.webp","693175","67438","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_1.42.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_1.42.1.webp","1105771","85672","1920","1080",""
"04_projects/melyviz-vvkriszti/Still 2026-01-10 232238_1.43.1.jpg","assets/ih-all/04_projects/melyviz-vvkriszti/still-2026-01-10-232238_1.43.1.webp","1117792","86464","1920","1080",""
